year,month,visitors,date,month_name,holiday,season_monsoon,season_summer,season_winter,festival_navratri,festival_none
2012,11,658581,2012-11-01,November,1,False,False,False,False,False
2012,12,600178,2012-12-01,December,1,False,False,True,False,True
2013,1,436021,2013-01-01,January,1,False,False,True,False,True
2013,2,349433,2013-02-01,February,0,False,False,True,False,True
2013,3,787659,2013-03-01,March,0,False,True,False,True,False
2013,4,1032301,2013-04-01,April,0,False,True,False,True,False
2013,5,988051,2013-05-01,May,1,False,True,False,False,True
2013,6,1268313,2013-06-01,June,0,True,False,False,False,True
2013,7,846693,2013-07-01,July,0,True,False,False,False,True
2013,8,766625,2013-08-01,August,0,True,False,False,False,True
2013,9,832183,2013-09-01,September,0,False,False,False,False,True
2013,10,985432,2013-10-01,October,1,False,False,False,True,False
2013,11,562160,2013-11-01,November,1,False,False,False,False,False
2013,12,468776,2013-12-01,December,1,False,False,True,False,True
2014,1,371649,2014-01-01,January,1,False,False,True,False,True
2014,2,284720,2014-02-01,February,0,False,False,True,False,True
2014,3,662889,2014-03-01,March,0,False,True,False,True,False
2014,4,749145,2014-04-01,April,0,False,True,False,True,False
2014,5,812265,2014-05-01,May,1,False,True,False,False,True
2014,6,1117934,2014-06-01,June,0,True,False,False,False,True
2014,7,953924,2014-07-01,July,0,True,False,False,False,True
2014,8,890348,2014-08-01,August,0,True,False,False,False,True
2014,9,419862,2014-09-01,September,0,False,False,False,False,True
2014,10,643990,2014-10-01,October,1,False,False,False,True,False
2014,11,486971,2014-11-01,November,1,False,False,False,False,False
2014,12,409496,2014-12-01,December,1,False,False,True,False,True
2015,1,359453,2015-01-01,January,1,False,False,True,False,True
2015,2,289460,2015-02-01,February,0,False,False,True,False,True
2015,3,617785,2015-03-01,March,0,False,True,False,True,False
2015,4,597472,2015-04-01,April,0,False,True,False,True,False
2015,5,817029,2015-05-01,May,1,False,True,False,False,True
2015,6,1125747,2015-06-01,June,0,True,False,False,False,True
2015,7,775567,2015-07-01,July,0,True,False,False,False,True
2015,8,669633,2015-08-01,August,0,True,False,False,False,True
2015,9,673925,2015-09-01,September,0,False,False,False,False,True
2015,10,794623,2015-10-01,October,1,False,False,False,True,False
2015,11,555019,2015-11-01,November,1,False,False,False,False,False
2015,12,500891,2015-12-01,December,1,False,False,True,False,True
2016,1,432246,2016-01-01,January,1,False,False,True,False,True
2016,2,296746,2016-02-01,February,0,False,False,True,False,True
2016,3,648935,2016-03-01,March,0,False,True,False,True,False
2016,4,756851,2016-04-01,April,0,False,True,False,True,False
2016,5,981809,2016-05-01,May,1,False,True,False,False,True
2016,6,1221214,2016-06-01,June,0,True,False,False,False,True
2016,7,716721,2016-07-01,July,0,True,False,False,False,True
2016,8,619999,2016-08-01,August,0,True,False,False,False,True
2016,9,567393,2016-09-01,September,0,False,False,False,False,True
2016,10,583194,2016-10-01,October,1,False,False,False,True,False
2016,11,448931,2016-11-01,November,1,False,False,False,False,False
2016,12,449682,2016-12-01,December,1,False,False,True,False,True
2017,1,454118,2017-01-01,January,1,False,False,True,False,True
2017,2,328230,2017-02-01,February,0,False,False,True,False,True
2017,3,684663,2017-03-01,March,0,False,True,False,True,False
2017,4,800813,2017-04-01,April,0,False,True,False,True,False
2017,5,910843,2017-05-01,May,1,False,True,False,False,True
2017,6,1184898,2017-06-01,June,0,True,False,False,False,True
2017,7,781433,2017-07-01,July,0,True,False,False,False,True
2017,8,631645,2017-08-01,August,0,True,False,False,False,True
2017,9,735596,2017-09-01,September,0,False,False,False,False,True
2017,10,694130,2017-10-01,October,1,False,False,False,True,False
2017,11,449174,2017-11-01,November,1,False,False,False,False,False
2017,12,522775,2017-12-01,December,1,False,False,True,False,True
2018,1,545945,2018-01-01,January,1,False,False,True,False,True
2018,2,343162,2018-02-01,February,0,False,False,True,False,True
2018,3,796852,2018-03-01,March,0,False,True,False,True,False
2018,4,728666,2018-04-01,April,0,False,True,False,True,False
2018,5,944614,2018-05-01,May,1,False,True,False,False,True
2018,6,1161329,2018-06-01,June,0,True,False,False,False,True
2018,7,748713,2018-07-01,July,0,True,False,False,False,True
2018,8,690646,2018-08-01,August,0,True,False,False,False,True
2018,9,680373,2018-09-01,September,0,False,False,False,False,True
2018,10,799596,2018-10-01,October,1,False,False,False,True,False
2018,11,603160,2018-11-01,November,1,False,False,False,False,False
2018,12,543485,2018-12-01,December,1,False,False,True,False,True
2019,1,501880,2019-01-01,January,1,False,False,True,False,True
2019,2,269739,2019-02-01,February,0,False,False,True,False,True
2019,3,462369,2019-03-01,March,0,False,True,False,True,False
2019,4,690893,2019-04-01,April,0,False,True,False,True,False
2019,5,807125,2019-05-01,May,1,False,True,False,False,True
2019,6,1159715,2019-06-01,June,0,True,False,False,False,True
2019,7,845071,2019-07-01,July,0,True,False,False,False,True
2019,8,602088,2019-08-01,August,0,True,False,False,False,True
2019,9,656167,2019-09-01,September,0,False,False,False,False,True
2019,10,796087,2019-10-01,October,1,False,False,False,True,False
2019,11,577757,2019-11-01,November,1,False,False,False,False,False
2019,12,571173,2019-12-01,December,1,False,False,True,False,True
2020,1,512569,2020-01-01,January,1,False,False,True,False,True
2020,2,396683,2020-02-01,February,0,False,False,True,False,True
2020,3,343482,2020-03-01,March,0,False,True,False,True,False
2020,4,0,2020-04-01,April,0,False,True,False,True,False
2020,5,0,2020-05-01,May,1,False,True,False,False,True
2020,6,0,2020-06-01,June,0,True,False,False,False,True
2020,7,0,2020-07-01,July,0,True,False,False,False,True
2020,8,7253,2020-08-01,August,0,True,False,False,False,True
2020,9,27427,2020-09-01,September,0,False,False,False,False,True
2020,10,121661,2020-10-01,October,1,False,False,False,True,False
2020,11,103749,2020-11-01,November,1,False,False,False,False,False
2020,12,207533,2020-12-01,December,1,False,False,True,False,True
2021,1,408061,2021-01-01,January,1,False,False,True,False,True
2021,2,389549,2021-02-01,February,0,False,False,True,False,True
2021,3,525198,2021-03-01,March,0,False,True,False,True,False
2021,4,321735,2021-04-01,April,0,False,True,False,True,False
2021,5,45155,2021-05-01,May,1,False,True,False,False,True
2021,6,198490,2021-06-01,June,0,True,False,False,False,True
2021,7,500671,2021-07-01,July,0,True,False,False,False,True
2021,8,521970,2021-08-01,August,0,True,False,False,False,True
2021,9,639162,2021-09-01,September,0,False,False,False,False,True
2021,10,753561,2021-10-01,October,1,False,False,False,True,False
2021,11,646415,2021-11-01,November,1,False,False,False,False,False
2021,12,638207,2021-12-01,December,1,False,False,True,False,True
2022,1,438521,2022-01-01,January,1,False,False,True,False,True
2022,2,361074,2022-02-01,February,0,False,False,True,False,True
2022,3,778669,2022-03-01,March,0,False,True,False,True,False
2022,4,902192,2022-04-01,April,0,False,True,False,True,False
2022,5,986766,2022-05-01,May,1,False,True,False,False,True
2022,6,1129231,2022-06-01,June,0,True,False,False,False,True
2022,7,907542,2022-07-01,July,0,True,False,False,False,True
2022,8,877762,2022-08-01,August,0,True,False,False,False,True
2022,9,828382,2022-09-01,September,0,False,False,False,False,True
2022,10,751434,2022-10-01,October,1,False,False,False,True,False
2022,11,601565,2022-11-01,November,1,False,False,False,False,False
2022,12,561832,2022-12-01,December,1,False,False,True,False,True
2023,1,524189,2023-01-01,January,1,False,False,True,False,True
2023,2,414432,2023-02-01,February,0,False,False,True,False,True
2023,3,894650,2023-03-01,March,0,False,True,False,True,False
2023,4,1018540,2023-04-01,April,0,False,True,False,True,False
2023,5,995773,2023-05-01,May,1,False,True,False,False,True
2023,6,1195844,2023-06-01,June,0,True,False,False,False,True
2023,7,776800,2023-07-01,July,0,True,False,False,False,True
2023,8,710914,2023-08-01,August,0,True,False,False,False,True
2023,9,794156,2023-09-01,September,0,False,False,False,False,True
2023,10,915703,2023-10-01,October,1,False,False,False,True,False
2023,11,618646,2023-11-01,November,1,False,False,False,False,False
2023,12,662578,2023-12-01,December,1,False,False,True,False,True
2024,1,616609,2024-01-01,January,1,False,False,True,False,True
2024,2,432925,2024-02-01,February,0,False,False,True,False,True
2024,3,861517,2024-03-01,March,0,False,True,False,True,False
2024,4,955575,2024-04-01,April,0,False,True,False,True,False
2024,5,1164301,2024-05-01,May,1,False,True,False,False,True
2024,6,1115719,2024-06-01,June,0,True,False,False,False,True
2024,7,765726,2024-07-01,July,0,True,False,False,False,True
